"First author","Study accession","Publication date",Journal,Title,"Reported trait",Trait(s),"Background trait(s)","Discovery sample number and ancestry","Replication sample number and ancestry","Association count","Summary statistics"
"Martin NW",GCST001097,2011-06-09,"PLoS One","Educational attainment: a genome wide association study in 9538 Australians.","Educational attainment","self reported educational attainment",'-,"9538 European","968 European",0,NA
"Kichaev G",GCST007037,2018-12-27,"Am J Hum Genet","Leveraging Polygenic Functional Enrichment to Improve GWAS Power.","Educational attainment (years of education)","self reported educational attainment",'-,"455000 European",'-,322,NA
"Backman JD",GCST90082939,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","Education score England (UKB data field 26414) (Gene-based burden)","educational attainment",'-,"369491 European",'-,0,"FTP Download"
"Loh PR",GCST90029012,2018-07-01,"Nat Genet","Mixed-model association for biobank-scale datasets.","Educational attainment (college completion)","educational attainment",'-,"470941 European",'-,0,"FTP Download"
"Loh PR",GCST90029013,2018-07-01,"Nat Genet","Mixed-model association for biobank-scale datasets.","Educational attainment (years of education)","educational attainment",'-,"461457 European",'-,0,"FTP Download"
"Donati G",GCST011358,2021-02-16,"Sci Rep","Evidence for specificity of polygenic contributions to attainment in English, maths and science during adolescence.","Academic attainment (English)","educational attainment",'-,"5983 European",'-,16,NA
"Donati G",GCST011357,2021-02-16,"Sci Rep","Evidence for specificity of polygenic contributions to attainment in English, maths and science during adolescence.","Academic attainment (maths)","educational attainment",'-,"6017 European",'-,38,NA
"Donati G",GCST011356,2021-02-16,"Sci Rep","Evidence for specificity of polygenic contributions to attainment in English, maths and science during adolescence.","Academic attainment (science)","educational attainment",'-,"6089 European",'-,27,NA
"Backman JD",GCST90078953,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","Education score England (UKB data field 26414)","educational attainment",'-,"369491 European",'-,0,"FTP Download"
"Jiang L",GCST90044291,2021-11-04,"Nat Genet","A generalized linear mixed model association tool for biobank-scale data. ","Qualifications: College or University degree (UKB data field 6138_1)","educational attainment",'-,"451597 European",'-,0,"FTP Download"
"Jiang L",GCST90044292,2021-11-04,"Nat Genet","A generalized linear mixed model association tool for biobank-scale data. ","Qualifications: PHESANT recoding (UKB data field 6138_100)","educational attainment",'-,"451597 European",'-,0,"FTP Download"
"Jiang L",GCST90044293,2021-11-04,"Nat Genet","A generalized linear mixed model association tool for biobank-scale data. ","Qualifications: A levels/AS levels or equivalent (UKB data field 6138_2)","educational attainment",'-,"451597 European",'-,0,"FTP Download"
"Jiang L",GCST90044294,2021-11-04,"Nat Genet","A generalized linear mixed model association tool for biobank-scale data. ","Qualifications: O levels/GCSEs or equivalent (UKB data field 6138_3)","educational attainment",'-,"451597 European",'-,0,"FTP Download"
"Jiang L",GCST90044295,2021-11-04,"Nat Genet","A generalized linear mixed model association tool for biobank-scale data. ","Qualifications: CSEs or equivalent (UKB data field 6138_4)","educational attainment",'-,"451597 European",'-,0,"FTP Download"
"Jiang L",GCST90044296,2021-11-04,"Nat Genet","A generalized linear mixed model association tool for biobank-scale data. ","Qualifications: NVQ or HND or HNC or equivalent (UKB data field 6138_5)","educational attainment",'-,"451597 European",'-,0,"FTP Download"
"Jiang L",GCST90044297,2021-11-04,"Nat Genet","A generalized linear mixed model association tool for biobank-scale data. ","Qualifications: Other professional qualifications eg: nursing, teaching (UKB data field 6138_6)","educational attainment",'-,"451597 European",'-,0,"FTP Download"
"Pasman JA",GCST90100570,2021-12-02,"Behav Genet","Genetic Risk for Smoking: Disentangling Interplay Between Genes and Socioeconomic Status. ","Educational attainment","educational attainment",'-,"451800 European, NR",'-,276,NA
"Wu Y",GCST90017139,2021-06-01,"Proc Natl Acad Sci U S A","Estimating genetic nurture with summary statistics of multigenerational genome-wide association studies. ","Educational attainment (direct effects)","educational attainment",'-,"24434 European",'-,0,"FTP Download"
"Wu Y",GCST90017140,2021-06-01,"Proc Natl Acad Sci U S A","Estimating genetic nurture with summary statistics of multigenerational genome-wide association studies. ","Educational attainment (indirect effects)","educational attainment",'-,"37081 European",'-,0,"FTP Download"
"Howe LJ",GCST90133116,2022-05-09,"Nat Genet","Within-sibship genome-wide association analyses decrease bias in estimates of direct genetic effects.","Educational attainment (population-based)","educational attainment",'-,"128777 European",'-,0,NA
"Howe LJ",GCST90133140,2022-05-09,"Nat Genet","Within-sibship genome-wide association analyses decrease bias in estimates of direct genetic effects.","Educational attainment (within-sibship)","educational attainment",'-,"128777 European",'-,0,NA
"Okbay A",GCST90105038,2022-03-31,"Nat Genet","Polygenic prediction of educational attainment within and between families from genome-wide association analyses in 3 million individuals.","Educational attainment","educational attainment",'-,"3037499 European",'-,4829,NA
"Okbay A",GCST90105039,2022-03-31,"Nat Genet","Polygenic prediction of educational attainment within and between families from genome-wide association analyses in 3 million individuals.","Educational attainment","educational attainment",'-,"2713033 European, NR",'-,57,NA
"Fan Q",GCST003455,2016-03-29,"Nat Commun","Meta-analysis of gene-environment-wide association scans accounting for education level identifies additional loci for refractive error.","Spherical equivalent (joint analysis main effects and education interaction)","refractive error, self reported educational attainment",'-,"5971 East Asian2088 South Asian40036 European2256 South East Asian",'-,48,NA
"Grove J",GCST007554,2019-02-25,"Nat Genet","Identification of common genetic risk variants for autism spectrum disorder.","Autism and educational attainment (MTAG)","autism spectrum disorder, self reported educational attainment",'-,"46350 European328917 NR",'-,4,NA
"Demange PA",GCST90011875,2021-01-07,"Nat Genet","Investigating the genetic architecture of noncognitive skills using GWAS-by-subtraction.","Cognitive aspects of educational attainment","cognitive function measurement, self reported educational attainment",'-,"257700 European",'-,260,"FTP Download"
"Shadrin AA",GCST006216,2017-11-26,"J Am Acad Child Adolesc Psychiatry","Novel Loci Associated With Attention-Deficit/Hyperactivity Disorder Are Revealed by Leveraging Polygenic Overlap With Educational Attainment.","Attention deficit hyperactivity disorder or educational attainment (years of education) (pleiotropy)","attention deficit hyperactivity disorder, self reported educational attainment",'-,"338460 European",'-,0,NA
"Lam M",GCST005141,2017-11-28,"Cell Rep","Large-Scale Cognitive GWAS Meta-Analysis Reveals Tissue-Specific Neural Expression and Potential Nootropic Drug Targets.","Cognitive ability (MTAG)","intelligence, self reported educational attainment",'-,"436124 European",'-,82,NA
"de Las Fuentes L",GCST010426,2020-05-05,"Mol Psychiatry","Gene-educational attainment interactions in a multi-ancestry genome-wide meta-analysis identify novel blood pressure loci.","Systolic blood pressure x educational attainment (some college) interaction (2df)","systolic blood pressure, self reported educational attainment",'-,"5145 Hispanic or Latin American2493 South Asian1590 Sub-Saharan African15075 African American or Afro-Caribbean, African unspecified47870 European2531 South East Asian6328 Asian unspecified, East Asian","242524 European5592 African American or Afro-Caribbean, NR1606 Sub-Saharan African10906 East Asian, South Asian, South East Asian11631 Hispanic or Latin American",7,NA
"de Las Fuentes L",GCST010425,2020-05-05,"Mol Psychiatry","Gene-educational attainment interactions in a multi-ancestry genome-wide meta-analysis identify novel blood pressure loci.","Systolic blood pressure x educational attainment (graduated college) interaction (2df)","systolic blood pressure, self reported educational attainment",'-,"79040 European748 Asian unspecified, East Asian5145 Hispanic or Latin American15075 African American or Afro-Caribbean, African unspecified1590 Sub-Saharan African","257037 European5947 East Asian, South Asian, South East Asian5592 African American or Afro-Caribbean, NR1606 Sub-Saharan African11631 Hispanic or Latin American",2,NA
"de Las Fuentes L",GCST010424,2020-05-05,"Mol Psychiatry","Gene-educational attainment interactions in a multi-ancestry genome-wide meta-analysis identify novel blood pressure loci.","Diastolic blood pressure x educational attainment (some college) interaction (2df)","diastolic blood pressure, self reported educational attainment",'-,"2493 South Asian47870 European1590 Sub-Saharan African5145 Hispanic or Latin American6328 Asian unspecified, East Asian15075 African American or Afro-Caribbean, African unspecified2531 South East Asian","5592 African American or Afro-Caribbean, NR11631 Hispanic or Latin American10906 East Asian, South Asian, South East Asian242524 European1606 Sub-Saharan African",1,NA
"de Las Fuentes L",GCST010423,2020-05-05,"Mol Psychiatry","Gene-educational attainment interactions in a multi-ancestry genome-wide meta-analysis identify novel blood pressure loci.","Diastolic blood pressure x educational attainment (graduated college) interaction (2df)","diastolic blood pressure, self reported educational attainment",'-,"79040 European748 Asian unspecified, East Asian15075 African American or Afro-Caribbean, African unspecified1590 Sub-Saharan African5145 Hispanic or Latin American","5947 East Asian, South Asian, South East Asian257037 European5592 African American or Afro-Caribbean, NR11631 Hispanic or Latin American1606 Sub-Saharan African",4,NA
"de Las Fuentes L",GCST010422,2020-05-05,"Mol Psychiatry","Gene-educational attainment interactions in a multi-ancestry genome-wide meta-analysis identify novel blood pressure loci.","Mean arterial pressure x educational attainment (some college) interaction (2df)","mean arterial pressure, self reported educational attainment",'-,"2493 South Asian6328 Asian unspecified, East Asian5145 Hispanic or Latin American2531 South East Asian15075 African American or Afro-Caribbean, African unspecified47870 European1590 Sub-Saharan African","242524 European5592 African American or Afro-Caribbean, NR11631 Hispanic or Latin American1606 Sub-Saharan African10906 East Asian, South Asian, South East Asian",3,NA
"de Las Fuentes L",GCST010421,2020-05-05,"Mol Psychiatry","Gene-educational attainment interactions in a multi-ancestry genome-wide meta-analysis identify novel blood pressure loci.","Mean arterial pressure x educational attainment (graduated college) interaction (2df)","mean arterial pressure, self reported educational attainment",'-,"79040 European748 Asian unspecified, East Asian15075 African American or Afro-Caribbean, African unspecified5145 Hispanic or Latin American1590 Sub-Saharan African","5947 South Asian, South East Asian, East Asian257037 European1606 Sub-Saharan African11631 Hispanic or Latin American5592 African American or Afro-Caribbean, NR",2,NA
"de Las Fuentes L",GCST010420,2020-05-05,"Mol Psychiatry","Gene-educational attainment interactions in a multi-ancestry genome-wide meta-analysis identify novel blood pressure loci.","Pulse pressure x educational attainment (some college) interaction (2df)","pulse pressure measurement, self reported educational attainment",'-,"47870 European2531 South East Asian15075 African American or Afro-Caribbean, African unspecified1590 Sub-Saharan African6328 Asian unspecified, East Asian5145 Hispanic or Latin American2493 South Asian","1606 Sub-Saharan African11631 Hispanic or Latin American5592 African American or Afro-Caribbean, NR242524 European10906 East Asian, South Asian, South East Asian",4,NA
"de Las Fuentes L",GCST010419,2020-05-05,"Mol Psychiatry","Gene-educational attainment interactions in a multi-ancestry genome-wide meta-analysis identify novel blood pressure loci.","Pulse pressure x educational attainment (graduated college) interaction (2df)","pulse pressure measurement, self reported educational attainment",'-,"79040 European748 Asian unspecified, East Asian1590 Sub-Saharan African5145 Hispanic or Latin American15075 African American or Afro-Caribbean, African unspecified","5947 East Asian, South Asian, South East Asian257037 European5592 African American or Afro-Caribbean, NR1606 Sub-Saharan African11631 Hispanic or Latin American",0,NA
"Hollister BM",GCST011422,2019-05-10,"Front Genet","A Social Determinant of Health May Modify Genetic Associations for Blood Pressure: Evidence From a SNP by Education Interaction in an African American Population.","Systolic blood pressure (education interaction)","educational attainment, systolic blood pressure",'-,"2577 African American or Afro-Caribbean",'-,3,NA
"Hollister BM",GCST011421,2019-05-10,"Front Genet","A Social Determinant of Health May Modify Genetic Associations for Blood Pressure: Evidence From a SNP by Education Interaction in an African American Population.","Diastolic blood pressure (education interaction)","educational attainment, diastolic blood pressure",'-,"2577 African American or Afro-Caribbean",'-,2,NA
"Kulminski AM",GCST90095190,2021-11-06,Geroscience,"Pleiotropic predisposition to Alzheimer's disease and educational attainment: insights from the summary statistics analysis.","Alzheimer's disease or educational attainment (pleiotropy)","Alzheimer disease, educational attainment",'-,"NA NR",'-,166,NA
"O'Connell KS",GCST012957,2019-11-29,"Biol Psychiatry","Identification of Genetic Loci Shared Between Attention-Deficit/Hyperactivity Disorder, Intelligence, and Educational Attainment.","Attention deficit hyperactivity disorder, intelligence or educational attainment (pleiotropy)","attention deficit hyperactivity disorder, intelligence, self reported educational attainment",'-,"1165659 European",'-,0,NA
"Lam M",GCST008595,2019-08-01,"Am J Hum Genet","Pleiotropic Meta-Analysis of Cognition, Education, and Schizophrenia Differentiates Roles of Early Neurodevelopmental and Adult Synaptic Pathways.","Cognitive ability, years of educational attainment or schizophrenia (pleiotropy)","schizophrenia, intelligence, self reported educational attainment",'-,"436124 NR120552 European",'-,235,NA
"Jung HU",GCST012283,2021-03-02,"Sci Rep","Identification of genetic loci affecting body mass index through interaction with multiple environmental factors using structured linear mixed model.","BMI x environmental factors (including physical activity) interaction","household income, smoking status measurement, educational attainment, protein intake measurement, carbohydrate intake measurement, alcohol consumption measurement, physical activity measurement, body mass index, energy intake measurement",'-,"8155 East Asian",'-,7,NA
"Jung HU",GCST012282,2021-03-02,"Sci Rep","Identification of genetic loci affecting body mass index through interaction with multiple environmental factors using structured linear mixed model.","BMI x  environmental factors (excluding physical activity) interaction","household income, smoking status measurement, educational attainment, protein intake measurement, carbohydrate intake measurement, alcohol consumption measurement, body mass index, energy intake measurement",'-,"8155 East Asian",'-,11,NA
