"First author","Study accession","Publication date",Journal,Title,"Reported trait",Trait(s),"Background trait(s)","Discovery sample number and ancestry","Replication sample number and ancestry","Association count","Summary statistics"
"Charmet R",GCST006281,2018-04-25,"Cardiovasc Diabetol","Novel risk genes identified in a genome-wide association study for coronary artery disease in patients with type 1 diabetes.","Coronary artery disease in type 1 diabetes","coronary artery disease","type 1 diabetes mellitus","3557 European3197 NR",'-,21,"FTP Download"
"Lettre G",GCST000972,2011-02-10,"PLoS Genet","Genome-wide association study of coronary heart disease and its risk factors in 8,090 African Americans: the NHLBI CARe Project.","Coronary heart disease","coronary artery disease",'-,"5313 African American or Afro-Caribbean","2250 African American or Afro-Caribbean",3,NA
"Erdmann J",GCST000338,2009-02-08,"Nat Genet","New susceptibility locus for coronary artery disease on chromosome 3q22.3.","Coronary heart disease","coronary artery disease",'-,"2520 European","38253 European",2,NA
"Reilly MP",GCST000945,2011-01-14,Lancet,"Identification of ADAMTS7 as a novel locus for coronary atherosclerosis and association of ABO with myocardial infarction in the presence of coronary atherosclerosis: two genome-wide association studies.","Coronary artery disease","coronary artery disease",'-,"2723 European","17053 European",3,NA
"Coronary Artery Disease (C4D) Genetics Consortium",GCST000999,2011-03-06,"Nat Genet","A genome-wide association study in Europeans and South Asians identifies five new loci for coronary artery disease.","Coronary heart disease","coronary artery disease",'-,"14790 South Asian15682 European","6187 South Asian34406 European",19,NA
"Erdmann J",GCST000875,2010-11-18,"Eur Heart J","Genome-wide association study identifies a new locus for coronary artery disease on chromosome 10p11.23.","Coronary heart disease","coronary artery disease",'-,"2905 European","16131 European",1,NA
"Lee JY",GCST001845,2013-01-31,"J Hum Genet","A genome-wide association study of a coronary artery disease risk variant.","Coronary heart disease","coronary artery disease",'-,"5714 East Asian","8028 East Asian",5,NA
"Takeuchi F",GCST001260,2011-10-05,"Eur J Hum Genet","Genome-wide association study of coronary artery disease in the Japanese.","Coronary heart disease","coronary artery disease",'-,"3648 East Asian","9928 East Asian",3,NA
"McPherson R",GCST000031,2007-05-03,Science,"A common allele on chromosome 9 associated with coronary heart disease.","Coronary heart disease","coronary artery disease",'-,"634 European","23791 European",0,NA
"Wellcome Trust Case Control Consortium",GCST000045,2007-06-07,Nature,"Genome-wide association study of 14,000 cases of seven common diseases and 3,000 shared controls.","Coronary heart disease","coronary artery disease",'-,"4864 European",'-,4,NA
"Samani NJ",GCST000057,2007-07-18,"N Engl J Med","Genomewide association analysis of coronary artery disease.","Coronary heart disease","coronary artery disease",'-,"4864 European","2519 European",7,NA
"Trégouët DA",GCST000341,2009-02-08,"Nat Genet","Genome-wide haplotype association study identifies the SLC22A3-LPAL2-LPA gene cluster as a risk locus for coronary artery disease.","Coronary heart disease","coronary artery disease",'-,"4864 European","14398 European",2,NA
"Schunkert H",GCST000998,2011-03-06,"Nat Genet","Large-scale association analysis identifies 13 new susceptibility loci for coronary artery disease.","Coronary heart disease","coronary artery disease",'-,"86995 European","56682 European",30,"FTP Download&nbsp;&nbsp;or&nbsp;&nbsp;API access"
"Hager J",GCST001581,2012-06-20,"PLoS One","Genome-wide association study in a Lebanese cohort confirms PHACTR1 as a major determinant of coronary artery stenosis.","Coronary heart disease","coronary artery disease",'-,"1949 Greater Middle Eastern (Middle Eastern, North African or Persian)","2547 Greater Middle Eastern (Middle Eastern, North African or Persian)",3,NA
"Lu X",GCST001587,2012-07-01,"Nat Genet","Genome-wide association study in Han Chinese identifies four new susceptibility loci for coronary artery disease.","Coronary heart disease","coronary artery disease",'-,"6534 East Asian","26932 East Asian",8,NA
"Dichgans M",GCST002289,2013-11-21,Stroke,"Shared genetic susceptibility to ischemic stroke and coronary artery disease: a genome-wide analysis of common variants.","Coronary artery disease","coronary artery disease",'-,"109126 NR",'-,23,NA
"Davies RW",GCST001401,2012-02-07,"Circ Cardiovasc Genet","A genome-wide association study for coronary artery disease identifies a novel susceptibility locus in the major histocompatibility complex.","Coronary heart disease","coronary artery disease",'-,"13949 European","11032 European",5,NA
"Barbalic M",GCST001190,2011-08-04,"PLoS Genet","Genome-wide association analysis of incident coronary heart disease (CHD) in African Americans: a short report.","Coronary heart disease","coronary artery disease",'-,"2905 African American or Afro-Caribbean","8155 African American or Afro-Caribbean",0,NA
"Slavin TP",GCST001084,2011-05-28,"Hum Genet","Two-marker association tests yield new disease associations for coronary artery disease and hypertension.","Coronary heart disease (SNP X SNP interaction)","coronary artery disease",'-,"5000 European",'-,5,NA
"Wang F",GCST001000,2011-03-06,"Nat Genet","Genome-wide association identifies a susceptibility locus for coronary artery disease in the Chinese Han population.","Coronary heart disease","coronary artery disease",'-,"460 East Asian","7593 East Asian",0,NA
"Wild PS",GCST001079,2011-05-23,"Circ Cardiovasc Genet","A genome-wide association study identifies LIPA as a susceptibility gene for coronary artery disease.","Coronary heart disease","coronary artery disease",'-,"5031 European","54758 European",5,NA
"Versmissen J",GCST002478,2014-06-11,"Eur J Hum Genet","Identifying genetic risk variants for coronary heart disease in familial hypercholesterolemia: an extreme genetics approach.","Coronary heart disease in familial hypercholesterolemia","coronary artery disease","familial hypercholesterolemia","466 European","2435 European",0,NA
"Nikpay M",GCST003116,2015-09-07,"Nat Genet","A comprehensive 1,000 Genomes-based genome-wide association meta-analysis of coronary artery disease.","Coronary artery disease","coronary artery disease",'-,"141217 European25557 South Asian2268 Greater Middle Eastern (Middle Eastern, North African or Persian)4095 Hispanic or Latin American3139 African American or Afro-Caribbean11323 East Asian",'-,45,"FTP Download"
"Wakil SM",GCST003470,2016-02-01,Atherosclerosis,"A genome-wide association study reveals susceptibility loci for myocardial infarction/coronary artery disease in Saudi Arabs.","Coronary artery disease","coronary artery disease",'-,"5668 Greater Middle Eastern (Middle Eastern, North African or Persian)","1273 Greater Middle Eastern (Middle Eastern, North African or Persian)",9,NA
"Backman JD",GCST90079978,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","ICD10 I25.1: Atherosclerotic heart disease of native coronary artery","coronary artery disease",'-,"387911 European","117359 European",0,"FTP Download"
"Backman JD",GCST90085452,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","Coronary artery disease (Gene-based burden)","coronary artery disease",'-,"283203 European",'-,0,"FTP Download"
"Backman JD",GCST90085451,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","Coronary artery disease - loose (Gene-based burden)","coronary artery disease",'-,"387011 European",'-,0,"FTP Download"
"Backman JD",GCST90083964,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","ICD10 I25.1: Atherosclerotic heart disease of native coronary artery (Gene-based burden)","coronary artery disease",'-,"387911 European",'-,0,"FTP Download"
"Backman JD",GCST90081465,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","Coronary artery disease - loose","coronary artery disease",'-,"387011 European",'-,0,"FTP Download"
"Yamada Y",GCST009879,2018-09-17,"Biomed Rep","Identification of 26 novel loci that confer susceptibility to early-onset coronary artery disease in a Japanese population.","Coronary artery disease","coronary artery disease",'-,"7256 East Asian",'-,10,NA
"Zhou J",GCST90012176,2020-09-11,"PLoS One","Investigation of gene-gene interactions in cardiac traits and serum fatty acid levels in the LURIC Health Study.","Coronary artery disease","coronary artery disease",'-,"2824 European",'-,0,"FTP Download&nbsp;&nbsp;or&nbsp;&nbsp;API access"
"Klarin D",GCST007990,2017-07-17,"Nat Genet","Genetic analysis in UK Biobank links insulin resistance and transendothelial migration pathways to coronary artery disease.","Coronary artery disease","coronary artery disease",'-,"120286 European","184305 European, NR",20,NA
"Song Y",GCST90014125,2021-02-25,"J Transl Med","Identification of susceptibility loci for cardiovascular disease in adults with hypertension, diabetes, and dyslipidemia.","Coronary artery disease in hypertension","coronary artery disease",hypertension,"16304 East Asian",'-,22,NA
"Song Y",GCST90014128,2021-02-25,"J Transl Med","Identification of susceptibility loci for cardiovascular disease in adults with hypertension, diabetes, and dyslipidemia.","Coronary artery disease in diabetes","coronary artery disease","diabetes mellitus","5312 East Asian",'-,24,NA
"Song Y",GCST90014131,2021-02-25,"J Transl Med","Identification of susceptibility loci for cardiovascular disease in adults with hypertension, diabetes, and dyslipidemia.","Coronary artery disease in dyslipidemia","coronary artery disease","rare dyslipidemia","20767 East Asian",'-,29,NA
"Backman JD",GCST90081466,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","Coronary artery disease","coronary artery disease",'-,"283203 European","118098 European",0,"FTP Download"
"Domarkienė I",GCST002298,2013-12-01,"Balkan J Med Genet","RTN4 and FBXL17 Genes are Associated with Coronary Heart Disease in Genome-Wide Association Analysis of Lithuanian Families.","Coronary heart disease","coronary artery disease",'-,"94 European",'-,3,NA
"Li Y",GCST005582,2018-02-22,"Arterioscler Thromb Vasc Biol","Genome-Wide Association and Functional Studies Identify SCML4 and THSD7A as Novel Susceptibility Genes for Coronary Artery Disease.","Coronary artery disease","coronary artery disease",'-,"630 East Asian","21198 East Asian",4,NA
"Zeller T",GCST004918,2017-09-20,"Front Cardiovasc Med","Genome-Wide Association Analysis for Severity of Coronary Artery Disease Using the Gensini Scoring System.","Coronary artery disease severity measurement","coronary artery disease",'-,"4931 European","2283 European",0,NA
"Mehta NN",GCST001185,2011-08-01,"Circ Cardiovasc Genet","A genome-wide association study in europeans and South asians identifies 5 new Loci for coronary artery disease.","Coronary heart disease","coronary artery disease",'-,"15062 NR8424 European6996 South Asian","40593 NR",2,NA
"Dehghan A",GCST003431,2016-03-07,"PLoS One","Genome-Wide Association Study for Incident Myocardial Infarction and Coronary Heart Disease in Prospective Cohort Studies: The CHARGE Consortium.","Incident coronary heart disease","coronary artery disease",'-,"24024 European","31146 European",2,NA
"Han Y",GCST005172,2017-12-20,"Sci Rep","Genome-wide association study identifies a missense variant at APOA5 for coronary artery disease in Multi-Ethnic Cohorts from Southeast Asia.","Coronary artery disease","coronary artery disease",'-,"2603 South East Asian6942 East Asian","2139 South Asian",2,NA
"van der Harst P",GCST005194,2017-12-06,"Circ Res","Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.","Coronary artery disease","coronary artery disease",'-,"296525 NR","250736 NR",259,"FTP Download&nbsp;&nbsp;or&nbsp;&nbsp;API access"
"van der Harst P",GCST005195,2017-12-06,"Circ Res","Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.","Coronary artery disease","coronary artery disease",'-,"547261 NR",'-,148,"FTP Download&nbsp;&nbsp;or&nbsp;&nbsp;API access"
"van der Harst P",GCST005196,2017-12-06,"Circ Res","Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.","Coronary artery disease","coronary artery disease",'-,"250736 NR","296525 NR",254,NA
"Nelson CP",GCST004787,2017-07-17,"Nat Genet","Association analyses based on false discovery rate implicate new loci for coronary artery disease.","Coronary artery disease (myocardial infarction, percutaneous transluminal coronary angioplasty, coronary artery bypass grafting, angina or chromic ischemic heart disease)","coronary artery disease",'-,"63731 European, NR","276868 European, NR",72,"FTP Download&nbsp;&nbsp;or&nbsp;&nbsp;API access"
"Hu Q",GCST003561,2016-05-13,Oncotarget,"NPR-C gene polymorphism is associated with increased susceptibility to coronary artery disease in Chinese Han population: a multicenter study.","Coronary artery disease","coronary artery disease",'-,"786 East Asian","9127 East Asian",0,NA
"Antikainen AAV",GCST011116,2020-02-20,"Cardiovasc Res","Genome-wide association study on coronary artery disease in type 1 diabetes suggests beta-defensin 127 as a risk locus.","Coronary artery disease in type 1 diabetes","coronary artery disease","type 1 diabetes mellitus","4869 European","2557 European, NR",9,NA
"Fall T",GCST006405,2018-07-12,Diabetologia,"Genome-wide association study of coronary artery disease among individuals with diabetes: the UK Biobank.","Coronary artery disease in diabetes","coronary artery disease","diabetes mellitus","15666 European",'-,2,"FTP Download"
"Kulminski AM",GCST005767,2018-03-01,"Aging (Albany NY)","Strong impact of natural-selection-free heterogeneity in genetics of age-related phenotypes.","Coronary heart disease","coronary artery disease",'-,"33431 European",'-,2,NA
"Koyama S",GCST010867,2020-10-05,"Nat Genet","Population-specific and trans-ancestry genome-wide analyses identify distinct and shared genetic risk loci for coronary artery disease.","Coronary artery disease","coronary artery disease",'-,"168228 East Asian",'-,73,NA
"Koyama S",GCST010866,2020-10-05,"Nat Genet","Population-specific and trans-ancestry genome-wide analyses identify distinct and shared genetic risk loci for coronary artery disease.","Coronary artery disease","coronary artery disease",'-,"480830 European168228 East Asian",'-,175,NA
"Ishigaki K",GCST90013687,2020-06-08,"Nat Genet","Large-scale genome-wide association study in a Japanese population identifies novel susceptibility loci across different diseases.","Coronary artery disease","coronary artery disease",'-,"212453 East Asian","18066 East Asian",3,NA
"Ishigaki K",GCST90013729,2020-06-08,"Nat Genet","Large-scale genome-wide association study in a Japanese population identifies novel susceptibility loci across different diseases.","Coronary artery disease","coronary artery disease",'-,"109347 East Asian",'-,1,NA
"Ishigaki K",GCST90013764,2020-06-08,"Nat Genet","Large-scale genome-wide association study in a Japanese population identifies novel susceptibility loci across different diseases.","Coronary artery disease","coronary artery disease",'-,"103106 East Asian",'-,0,NA
"Matsunaga H",GCST010480,2020-05-29,"Circ Genom Precis Med","Transethnic Meta-analysis of Genome-wide Association Studies Identifies Three New Loci and Characterizes Population-specific Differences for Coronary Artery Disease.","Coronary artery disease","coronary artery disease",'-,"51442 East Asian",'-,23,"FTP Download"
"Matsunaga H",GCST010479,2020-05-29,"Circ Genom Precis Med","Transethnic Meta-analysis of Genome-wide Association Studies Identifies Three New Loci and Characterizes Population-specific Differences for Coronary Artery Disease.","Coronary artery disease","coronary artery disease",'-,"340799 East Asian, European51442 East Asian",'-,76,"FTP Download"
"van Zuydam NR",GCST011490,2020-08-13,"Circ Genom Precis Med","Genetic Predisposition to Coronary Artery Disease in Type 2 Diabetes Mellitus.","Coronary artery disease in type 2 diabetes","coronary artery disease","type 2 diabetes mellitus","6740 South Asian17519 European","11537 European",0,NA
"van Zuydam NR",GCST011489,2020-08-13,"Circ Genom Precis Med","Genetic Predisposition to Coronary Artery Disease in Type 2 Diabetes Mellitus.","Coronary artery disease in individuals without type 2 diabetes","coronary artery disease",'-,"32307 European10077 South Asian","106240 European",2,NA
"van Zuydam NR",GCST011488,2020-08-13,"Circ Genom Precis Med","Genetic Predisposition to Coronary Artery Disease in Type 2 Diabetes Mellitus.","Coronary artery disease","coronary artery disease",'-,"16817 South Asian49826 European","117787 European",8,NA
"Miao Z",GCST90094909,2021-08-24,"HGG Adv","Identification of 90 NAFLD GWAS loci and establishment of NAFLD PRS and causal role of NAFLD in coronary artery disease.","Coronary artery disease","coronary artery disease",'-,"127635 European",'-,0,NA
"Mbatchou J",GCST90013868,2021-05-20,"Nat Genet","Computationally efficient whole-genome regression for quantitative and binary traits.","Coronary artery disease (SPA correction)","coronary artery disease",'-,"352063 European",'-,0,"FTP Download"
"Huang QQ",GCST90140952,2022-08-09,"Nat Commun","Transferability of genetic loci and polygenic scores for cardiometabolic traits in British Pakistani and Bangladeshi individuals.","Coronary artery disease","coronary artery disease",'-,"22000 South Asian",'-,1,NA
"Mbatchou J",GCST90013864,2021-05-20,"Nat Genet","Computationally efficient whole-genome regression for quantitative and binary traits.","Coronary artery disease (Firth correction)","coronary artery disease",'-,"352063 European",'-,0,"FTP Download"
"Bhat KG",GCST90134554,2022-07-15,"Am J Transl Res","Preliminary genome wide screening identifies new variants associated with coronary artery disease in Indian population.","Coronary artery disease","coronary artery disease",'-,"153 South Asian",'-,0,NA
"Tcheandjieu C",GCST90132302,2022-08-01,"Nat Med","Large-scale genome-wide association study of coronary artery disease in genetically diverse populations.","Coronary artery disease","coronary artery disease",'-,"773268 European",'-,33,NA
"Tcheandjieu C",GCST90132303,2022-08-01,"Nat Med","Large-scale genome-wide association study of coronary artery disease in genetically diverse populations.","Coronary artery disease","coronary artery disease",'-,"56970 Hispanic or Latin American",'-,306,NA
"Tcheandjieu C",GCST90132304,2022-08-01,"Nat Med","Large-scale genome-wide association study of coronary artery disease in genetically diverse populations.","Coronary artery disease","coronary artery disease",'-,"129326 African American or Afro-Caribbean",'-,134,NA
"Tcheandjieu C",GCST90132305,2022-08-01,"Nat Med","Large-scale genome-wide association study of coronary artery disease in genetically diverse populations.","Coronary artery disease","coronary artery disease",'-,"773268 European56970 Hispanic or Latin American129326 African American or Afro-Caribbean",'-,62,NA
"Zhang Q",GCST007359,2018-09-09,"J Diabetes Complications","Additional common variants associated with type 2 diabetes and coronary artery disease detected using a pleiotropic cFDR method.","Type 2 diabetes or coronary artery disease (pleiotropy)","type 2 diabetes mellitus, coronary artery disease",'-,"156028 European",'-,0,NA
"Dichgans M",GCST002287,2013-11-21,Stroke,"Shared genetic susceptibility to ischemic stroke and coronary artery disease: a genome-wide analysis of common variants.","Coronary artery disease or ischemic stroke","stroke, coronary artery disease",'-,"123388 NR",'-,14,NA
"Dichgans M",GCST002290,2013-11-21,Stroke,"Shared genetic susceptibility to ischemic stroke and coronary artery disease: a genome-wide analysis of common variants.","Coronary artery disease or large artery stroke","large artery stroke, coronary artery disease",'-,"100321 NR",'-,17,NA
"Shiffman D",GCST001545,2012-05-30,"PLoS One","Genome-wide study of gene variants associated with differential cardiovascular event reduction by pravastatin therapy.","Coronary heart disease event reduction (statin therapy interaction)","response to statin, coronary artery disease",'-,"383 NR682 African American or Afro-Caribbean, European, Hispanic or Latin American, Oceanian, Asian unspecified, Other","2427 African American or Afro-Caribbean, European, Hispanic or Latin American, Oceanian, Asian unspecified, Other10292 NR",1,NA
"Huang LO",GCST011338,2021-02-22,"Nat Metab","Genome-wide discovery of genetic loci that uncouple excess adiposity from its comorbidities.","Body fat percentage and coronary artery disease (pairwise)","body fat percentage, coronary artery disease",'-,"52463 African American or Afro-Caribbean, East Asian, Greater Middle Eastern (Middle Eastern, North African or Persian), Hispanic or Latin American, South Asian232558 European",'-,2,"FTP Download"
"Huang LO",GCST011330,2021-02-22,"Nat Metab","Genome-wide discovery of genetic loci that uncouple excess adiposity from its comorbidities.","Body mass index and coronary artery disease (pairwise)","body mass index, coronary artery disease",'-,"59353 African American or Afro-Caribbean, East Asian, Greater Middle Eastern (Middle Eastern, North African or Persian), Hispanic or Latin American, South Asian464176 European",'-,6,"FTP Download"
"Huang LO",GCST011322,2021-02-22,"Nat Metab","Genome-wide discovery of genetic loci that uncouple excess adiposity from its comorbidities.","Waist-hip ratio and coronary artery disease (pairwise)","waist-hip ratio, coronary artery disease",'-,"357224 European53724 African American or Afro-Caribbean, East Asian, Greater Middle Eastern (Middle Eastern, North African or Persian), Hispanic or Latin American, South Asian",'-,1,"FTP Download"
"Bone WP",GCST90013834,2021-02-04,"Alzheimers Res Ther","Multi-trait association studies discover pleiotropic loci between Alzheimer's disease and cardiometabolic traits.","Alzheimer's disease or coronary heart disease (pleiotropy)","Alzheimer disease, coronary artery disease",'-,"751783 NR",'-,0,NA
"Zhu Z",GCST007612,2019-04-02,"Respir Res","Genetic overlap of chronic obstructive pulmonary disease and cardiovascular disease-related traits: a large-scale genome-wide cross-trait analysis.","Chronic obstructive pulmonary disease or coronary artery disease (pleiotropy)","chronic obstructive pulmonary disease, coronary artery disease",'-,"243223 European, NR",'-,3,NA
"Tekola-Ayele F",GCST008782,2019-03-11,"Sci Rep","Genetic overlap between birthweight and adult cardiometabolic diseases has implications for genomic medicine.","Birth weight or coronary artery disease (pleiotropy)","birth weight, coronary artery disease",'-,"338086 European, NR",'-,0,NA
"Zheng Q",GCST011660,2020-06-29,"Sleep Med","Identification of genetic loci jointly influencing coronary artery disease risk and sleep traits of insomnia, sleep duration, and chronotype.","Coronary artery disease and insomnia (pleiotropy)","insomnia, coronary artery disease",'-,"528448 European23960 South Asian11058 East Asian7372 African American or Afro-Caribbean, Hispanic or Latin American",'-,0,NA
"Zheng Q",GCST011659,2020-06-29,"Sleep Med","Identification of genetic loci jointly influencing coronary artery disease risk and sleep traits of insomnia, sleep duration, and chronotype.","Coronary artery disease and sleep duration (pleiotropy)","sleep duration, coronary artery disease",'-,"526232 European11058 East Asian23960 South Asian7372 African American or Afro-Caribbean, Hispanic or Latin American",'-,0,NA
"Zheng Q",GCST011658,2020-06-29,"Sleep Med","Identification of genetic loci jointly influencing coronary artery disease risk and sleep traits of insomnia, sleep duration, and chronotype.","Coronary artery disease and chronotype (pleiotropy)","chronotype measurement, coronary artery disease",'-,"487467 European23960 South Asian11058 East Asian7372 African American or Afro-Caribbean, Hispanic or Latin American",'-,0,NA
"Zhuang Z",GCST90085924,2021-04-29,"BMC Med","Shared genetic etiology and causality between body fat percentage and cardiovascular diseases: a large-scale genome-wide cross-trait analysis.","Body fat percentage or coronary artery disease (MTAG)","body fat percentage, coronary artery disease",'-,"89297 European11419 East Asian, South Asian, African American or Afro-Caribbean195813 European, East Asian, South Asian, African American or Afro-Caribbean, Hispanic or Latin American",'-,16,NA
"Song Y",GCST90014124,2021-02-25,"J Transl Med","Identification of susceptibility loci for cardiovascular disease in adults with hypertension, diabetes, and dyslipidemia.","Cardio-cerebrovascular disease in hypertension","Ischemic stroke, coronary artery disease",hypertension,"16302 East Asian",'-,11,NA
"Song Y",GCST90014127,2021-02-25,"J Transl Med","Identification of susceptibility loci for cardiovascular disease in adults with hypertension, diabetes, and dyslipidemia.","Cardio-cerebrovascular disease in diabetes mellitus","Ischemic stroke, coronary artery disease","diabetes mellitus","5312 East Asian",'-,28,NA
"Song Y",GCST90014130,2021-02-25,"J Transl Med","Identification of susceptibility loci for cardiovascular disease in adults with hypertension, diabetes, and dyslipidemia.","Cardio-cerebrovascular disease in dyslipidemia","Ischemic stroke, coronary artery disease","rare dyslipidemia","20766 East Asian",'-,22,NA
"Lee JY",GCST002659,2014-10-17,"J Atheroscler Thromb","Associations between Genetic Variants and Angiographic Characteristics in Patients with Coronary Artery Disease.","Coronary artery disease-related phenotypes","angiographic measurement, coronary artery disease",'-,"667 East Asian","853 East Asian",0,NA
"Peng C",GCST004717,2017-06-23,Bone,"Genetic sharing with coronary artery disease identifies potential novel loci for bone mineral density.","Lumbar spine bone mineral density or coronary artery disease (pleiotropy)","spine bone mineral density, coronary artery disease",'-,"140231 NR",'-,0,NA
